Order_ID,Order_Date,Ship_Date,Ship_Mode,Order_Status,Customer_ID,Customer_Name,Customer_Segment,Region,State,City,Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Quantity,Discount,Sales,Revenue,Profit,Payment_Method,,Profit_Margin_%
ORD-100000,02-08-2024,04-08-2024,Second Class,Cancelled,CUST-4037,Karen Martin,Consumer,North,Massachusetts,Boston,PRD-1180,Cookware Item 81,Home & Kitchen,Cookware,46.54,1,0.1,41.89,41.89,12.05,Bank Transfer,,0.287658152
ORD-100001,10-05-2023,13-05-2023,Second Class,Delivered,CUST-3413,Karen Smith,Home Office,South,North Carolina,Raleigh,PRD-1127,Outdoor Gear Item 28,Sports,Outdoor Gear,574.97,1,0,574.97,574.97,66.57,PayPal,,0.115779954
ORD-100002,30-07-2023,03-08-2023,Standard Class,Returned,CUST-4985,Matthew Garcia,Corporate,Central,Nebraska,Bellevue,PRD-1090,Snacks Item 91,Food & Beverage,Snacks,40.35,4,0.3,112.98,451.92,22.4,Credit Card,,0.19826518
ORD-100003,25-07-2024,30-07-2024,Second Class,Pending,CUST-1666,Betty Scott,Consumer,East,Ohio,Cincinnati,PRD-1089,Shelving Item 90,Furniture,Shelving,427.63,2,0,855.26,1710.52,361.26,Bank Transfer,,0.422397867
ORD-100004,27-10-2022,01-11-2022,Standard Class,Delivered,CUST-4178,Patricia Harris,Home Office,East,Illinois,Aurora,PRD-1040,Women's Apparel Item 41,Clothing,Women's Apparel,220.33,1,0.1,198.3,198.3,44.89,Bank Transfer,,0.226374181
ORD-100005,13-10-2021,16-10-2021,Standard Class,Pending,CUST-3299,Melissa Thompson,Corporate,West,Arizona,Tucson,PRD-1157,Non-Fiction Item 58,Books,Non-Fiction,43.21,1,0,43.21,43.21,5.21,Bank Transfer,,0.120573941
ORD-100006,15-05-2023,19-05-2023,Standard Class,Returned,CUST-2576,Matthew Phillips,Small Business,Central,Nebraska,Bellevue,PRD-1005,Smartphones Item 6,Electronics,Smartphones,1598.38,4,0.15,5434.49,21737.96,1118.77,PayPal,,0.205864764
ORD-100007,07-01-2021,14-01-2021,First Class,Cancelled,CUST-4587,Thomas Rivera,Home Office,Central,Missouri,Springfield,PRD-1148,Swimming Item 49,Sports,Swimming,131.36,2,0,262.72,525.44,113.7,Gift Card,,0.432780146
ORD-100008,26-10-2022,29-10-2022,Standard Class,Cancelled,CUST-1458,Betty Allen,Consumer,South,Virginia,Virginia Beach,PRD-1048,Footwear Item 49,Clothing,Footwear,244.72,2,0,489.44,978.88,158.63,Gift Card,,0.3241051
ORD-100009,27-05-2024,30-05-2024,Standard Class,Pending,CUST-1867,Melissa Jackson,Corporate,West,Oregon,Salem,PRD-1211,Skincare Item 12,Beauty,Skincare,37.58,1,0.1,33.82,33.82,5.59,Debit Card,,0.165286813
